duration,x^0     ,x^1     ,x^2     ,x^3     ,x^4     ,x^5     ,x^6     ,x^7     ,y^0     ,y^1     ,y^2     ,y^3     ,y^4     ,y^5     ,y^6     ,y^7     ,z^0     ,z^1     ,z^2     ,z^3     ,z^4     ,z^5     ,z^6     ,z^7     ,yaw^0   ,yaw^1   ,yaw^2   ,yaw^3   ,yaw^4   ,yaw^5   ,yaw^6   ,yaw^7   
0.800000,-0.498379,0.016209,0.040420,-0.000447,-0.000538,0.000006,-0.000000,0.000000,-0.040233,-0.200802,0.003340,0.005573,-0.000273,0.000039,0.000000,-0.000000,0.410256,0.051264,0.000020,0.000037,-0.000058,0.000021,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.459990,0.078934,0.037313,-0.002130,-0.000515,0.000026,0.000000,-0.000000,-0.195983,-0.185239,0.015864,0.004946,-0.000118,-0.000073,0.000000,-0.000000,0.451282,0.051290,-0.000008,-0.000016,0.000025,-0.000009,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.374255,0.133543,0.030356,-0.003612,-0.000411,0.000033,0.000000,-0.000000,-0.331561,-0.150751,0.026908,0.004102,-0.000409,-0.000013,-0.000000,0.000000,0.492308,0.051279,0.000004,0.000007,-0.000011,0.000004,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.250000,0.174403,0.020278,-0.004714,-0.000278,0.000042,0.000000,-0.000000,-0.433013,-0.100686,0.035117,0.002711,-0.000461,-0.000022,-0.000000,0.000000,0.533333,0.051283,-0.000002,-0.000003,0.000005,-0.000002,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.100013,0.197314,0.008112,-0.005335,-0.000110,0.000044,0.000000,-0.000000,-0.489895,-0.040284,0.039739,0.001094,-0.000550,0.000001,-0.000000,0.000000,0.574359,0.051281,0.000001,0.000001,-0.000002,0.000001,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.060268,0.199916,-0.004888,-0.005405,0.000066,0.000043,0.000000,-0.000000,-0.496354,0.024275,0.040259,-0.000658,-0.000546,0.000011,0.000000,-0.000000,0.615385,0.051282,-0.000000,-0.000001,0.000001,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.214346,0.181941,-0.017386,-0.004919,0.000237,0.000036,0.000000,-0.000000,-0.451725,0.086331,0.036641,-0.002333,-0.000501,0.000026,0.000000,-0.000000,0.656410,0.051282,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.346362,0.145239,-0.028094,-0.003927,0.000383,0.000027,0.000000,-0.000000,-0.360601,0.139504,0.029249,-0.003772,-0.000398,0.000035,0.000000,-0.000000,0.697436,0.051282,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.442728,0.093588,-0.035911,-0.002530,0.000490,0.000014,0.000000,-0.000000,-0.232362,0.178317,0.018848,-0.004821,-0.000257,0.000042,0.000000,-0.000000,0.738462,0.051282,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.493525,0.032304,-0.040031,-0.000873,0.000546,-0.000000,-0.000000,0.000000,-0.080206,0.198776,0.006506,-0.005374,-0.000089,0.000044,0.000000,-0.000000,0.779487,0.051282,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
